Bug ID,GitHub Issue,Date First Reported,Date Last Reported,Occurrences,Error Type,Error Message,Component,User Impact,Root Cause,Status,Fix Commit,Resolution Date,Files Affected,Notes
BUG-001,#27,2026-01-04,2026-01-05,#185,exceeded,DealCalculatorV2,calculator,level,FIXED,INVESTIGATING,2026-01-04,"frontend/src/components/DealCalculatorV2.tsx, frontend/src/components/DealCalculatorV3.tsx",root.,
BUG-023,#23,2026-01-03,2026-01-05,1,Form,FIXED,2026-01-03,,,FIXED,,,,
BUG-019,#19,2026-01-02,2026-01-05,1,Request,INVESTIGATING,,,,FIXED,,,,
BUG-018,#18,2026-01-02,2026-01-05,1,Needed,INVESTIGATING,,,,FIXED,,,,
BUG-012,#12,2025-12-31,2026-01-05,1,Disclosure),FIXED,2025-12-31,,,FIXED,,,,
BUG-010,#10,2025-12-31,2026-01-05,1,Audit),FIXED,2025-12-31,,,FIXED,,,,
BUG-009,#9,2025-12-31,2026-01-05,1,Origin),FIXED,2025-12-31,,,FIXED,,,,
BUG-008,#8,2025-12-31,2026-01-05,1,Endpoints,FIXED,2025-12-31,,,FIXED,,,,
BUG-007,#7,2025-12-31,2026-01-05,1,Risk),FIXED,2025-12-31,,,FIXED,,,,
BUG-006,#6,2025-12-31,2026-01-05,1,Origin),FIXED,2025-12-31,,,FIXED,,,,
BUG-005,#5,2025-12-31,2026-01-05,1,.env.local,FIXED,2025-12-31,,,FIXED,,,,
